1	
2	31
3	29
4	33
4	34
4	35
5	9
5	14
5	22
5	28
5	42
6	11
6	15
6	20
6	21
6	22
6	28
6	47
6	48
6	58
7	16
7	24
7	37
7	39
7	40
7	51
7	20
8	9
8	13
8	26
8	34
8	37
9	12
9	18
9	21
9	25
9	28
10	12
10	20
10	25
10	26
10	36
10	51
11	47
12	18
12	20
12	43
12	47
13	24
14	15
15	
16	38
17	
18	21
18	47
18	48
18	57
19	42
20	21
20	47
20	48
21	47
21	48
21	57
22	49
22	52
23	41
24	
25	36
26	
27	
28	
29	
30	
31	35
32	33
33	
34	
35	
36	
37	38
38	39
38	40
39	40
40	41
41	
42	45
42	44
43	
44	45
45	
46	50
47	48
48	53
49	52
50	
51	
52	54
52	58
53	
54	58
55	
56	57
57	
58	
59	
60	
61	
62	
